,fldr,sx,sy
421,10303,-8371,17306
422,10304,-8536,17308
423,10305,-8700,17308
424,10306,-8865,17307
425,10307,-9030,17306
426,10308,-9194,17307
427,10309,-9359,17305
428,10310,-9524,17304
429,10311,-9688,17303
430,10312,-9854,17302
431,10313,-10018,17303
432,10314,-10183,17304
433,10315,-10348,17304
434,10316,-10513,17303
435,10317,-10677,17303
436,10318,-10842,17302
437,10319,-11007,17302
438,10320,-11172,17301
439,10321,-11336,17301
440,10322,-11501,17301
441,10323,-11666,17300
442,10324,-11831,17299
443,10325,-11996,17298
444,10326,-12160,17297
445,10327,-12325,17297
446,10328,-12490,17297
447,10329,-12654,17297
448,10330,-12819,17296
449,10331,-12984,17293
450,10332,-13149,17291
451,10333,-13313,17288
452,10334,-13478,17287
453,10335,-13643,17286
454,10336,-13808,17287
455,10337,-13973,17287
456,10338,-14137,17286
457,10339,-14302,17283
458,10340,-14467,17279
459,10341,-14631,17277
460,10342,-14796,17275
461,10343,-14961,17274
462,10344,-15125,17272
463,10345,-15290,17272
464,10346,-15455,17271
465,10347,-15620,17270
466,10348,-15784,17270
467,10349,-15949,17268
468,10350,-16114,17266
469,10351,-16279,17267
470,10352,-16444,17266
471,10353,-16608,17267
472,10354,-16773,17266
473,10355,-16938,17265
474,10356,-17103,17263
475,10357,-17267,17263
476,10358,-17432,17260
477,10359,-17597,17259
478,10360,-17762,17257
479,10361,-17926,17256
480,10362,-18091,17255
481,10363,-18256,17253
482,10364,-18421,17250
483,10365,-18585,17250
484,10366,-18750,17248
485,10367,-18915,17250
486,10368,-19080,17252
487,10369,-19244,17254
488,10370,-19409,17254
489,10371,-19574,17253
490,10372,-19739,17249
491,10373,-19903,17248
492,10374,-20068,17246
493,10375,-20233,17243
494,10376,-20398,17242
495,10377,-20562,17242
496,10378,-20727,17240
497,10379,-20892,17240
498,10380,-21057,17238
499,10381,-21221,17238
500,10382,-21386,17235
501,10383,-21551,17233
502,10384,-21716,17233
503,10385,-21881,17232
504,10386,-22045,17233
505,10387,-22210,17234
506,10388,-22375,17234
507,10389,-22540,17234
508,10390,-22704,17235
509,10391,-22869,17234
510,10392,-23034,17232
511,10393,-23199,17230
512,10394,-23364,17229
513,10395,-23528,17227
514,10396,-23693,17226
515,10397,-23858,17226
516,10398,-24023,17225
517,10399,-24187,17223
518,10400,-24352,17222
519,10401,-24517,17221
520,10402,-24682,17221
521,10403,-24846,17222
522,10404,-25011,17221
523,10405,-25176,17219
524,10406,-25341,17217
525,10407,-25506,17218
526,10408,-25670,17218
527,10409,-25835,17216
528,10410,-26000,17215
529,10411,-26164,17216
530,10412,-26329,17215
531,10413,-26494,17215
532,10414,-26659,17214
533,10415,-26824,17214
534,10416,-26989,17213
535,10417,-27153,17211
536,10418,-27318,17210
537,10419,-27483,17210
538,10420,-27648,17210
539,10421,-27812,17210
540,10422,-27977,17209
541,10423,-28142,17208
542,10424,-28307,17207
543,10425,-28472,17205
544,10426,-28636,17205
545,10427,-28801,17204
546,10428,-28965,17203
547,10429,-29130,17202
548,10430,-29295,17200
549,10431,-29460,17199
550,10432,-29624,17196
551,10433,-29789,17195
552,10434,-29954,17196
553,10435,-30119,17196
554,10436,-30284,17197
555,10437,-30448,17197
556,10438,-30613,17196
